end|main|42336|20|ThreadId(8)|23552|25600|1790148483810214000
end|main|42336|21|ThreadId(6)|25600|25600|1790148483814044800
end|main|42336|22|ThreadId(11)|0|25600|1790148483820262100
begin|main|42336|23|ThreadId(9)|24576|25600|1790148483841578400
begin|main|42336|24|ThreadId(12)|26624|25600|begin1790148483842219000|reader|
42336|23|ThreadId(8)|24576|25600|1790148483842292800
begin|main|42336|25|ThreadId(5)|28672|25600|1790148483842775000
begin|main|42336|26|ThreadId(2)|29696|25600|1790148483843062400
begin|reader|42336|24|ThreadId(11)|26624|25600|1790148483843300400
end|reader|42336|23|ThreadId(8)|24576|25600|1790148483843671800
begin|reader|42336|25|ThreadId(4)|28672|25600|1790148483843890400
begin|reader|42336|26|ThreadId(1)|29696|25600|1790148483844094100
end|reader|42336|24|ThreadId(11)|26624|25600|1790148483845047800
end|reader|42336|25|ThreadId(4)|28672|25600|1790148483845973400
end|reader|42336|26|ThreadId(1)|29696|25600|1790148483846326500
end|main|42336|23|ThreadId(9)|24576|25600|1790148483848456700
end|main|42336|24|ThreadId(12)|26624|25600|1790148483852283400
end|main|42336|25|ThreadId(5)|28672|25600|1790148483855591400
end|main|42336|26|ThreadId(2)|29696|25600|1790148483859890700
begin|main|42336|27|ThreadId(8)|31744|25600|1790148483882074000
begin|reader|42336|27|ThreadId(7)|31744|25600|1790148483882767700
begin|main|42336|28|ThreadId(6)|32768|25600|1790148483883012200
begin|main|42336|29|ThreadId(11)|33792|25600|1790148483883270400
begin|main|42336|30|ThreadId(13)|7168|25600|1790148483883631900
begin|reader|42336|28|ThreadId(5)|32768|25600|1790148483883801000
begin|main|42336|31|ThreadId(9)|34816|25600|1790148483883978600
begin|reader|42336|29|ThreadId(10)|33792|25600|1790148483884450700
begin|reader|42336|30|ThreadId(12)|7168|25600|1790148483884738800
end|reader|42336|27|ThreadId(7)|31744|25600|1790148483884930200
begin|reader|42336|31|ThreadId(8)|34816|25600|1790148483885156100
end|reader|42336|28|ThreadId(5)|32768|25600|1790148483885436400
end|reader|42336|29|ThreadId(10)|33792|25600|1790148483886422600
end|reader|42336|30|ThreadId(12)|7168|25600|1790148483886836800
end|reader|42336|31|ThreadId(8)|34816|25600|1790148483887863200
end|main|42336|27|ThreadId(8)|31744|25600|1790148483890652100
end|main|42336|28|ThreadId(6)|32768|25600|1790148483894300000
end|main|42336|29|ThreadId(11)|33792|25600|1790148483898942200
end|main|42336|30|ThreadId(13)|7168|25600|1790148483902996000
end|main|42336|31|ThreadId(9)|34816|25600|1790148483906177500
begin|main|42336|32|ThreadId(14)|36864|25600|1790148483926273600
begin|main|42336|33|ThreadId(5)|38912|25600|1790148483926668500
begin|main|42336|34|ThreadId(8)|39936|25600|1790148483927065600
begin|main|42336|35|ThreadId(12)|35840|25600|1790148483927402900
begin|reader|42336|32|ThreadId(13)|36864|25600|1790148483927447500
begin|main|42336|36|ThreadId(3)|18432|25600|1790148483927931800
begin|reader|42336|33|ThreadId(4)|38912|25600|1790148483928125600
begin|main|42336|37|ThreadId(10)|30720|25600|1790148483928397400
begin|reader|42336|34|ThreadId(7)|39936|25600|1790148483928571800
begin|main|42336begin||reader38||ThreadId42336(|1135)||ThreadId41984(|1125600)||179014848392884210035840
|25600|1790148483929020000
begin|beginmain||reader|4233642336||3639||ThreadId(ThreadId2)(|418432)||2560011264||179014848392941180025600
|1790148483929374100
begin|reader|42336|37|ThreadId(9)|30720|25600|1790148483930006700
begin|main|42336|40|ThreadId(6)|40960|25600|1790148483930055600
begin|reader|42336|38|ThreadId(10)|41984|25600|1790148483930436800
end|reader|42336|32|ThreadId(13)|36864|25600|1790148483930793100
begin|reader|42336|39|ThreadId(3)|11264|25600|1790148483931038300
begin|reader|42336|40|ThreadId(5)|40960|25600|1790148483931336400
end|reader|42336|33|ThreadId(4)|38912|25600|1790148483931630600
end|reader|42336|34|ThreadId(7)|39936|25600|1790148483931983000
end|reader|42336|35|ThreadId(11)|35840|25600|1790148483932395800
end|reader|42336|36|ThreadId(2)|18432|25600|1790148483932768300
end|reader|42336|37|ThreadId(9)|30720|25600|1790148483933994500
end|reader|42336|38|ThreadId(10)|41984|25600|1790148483934342400
end|reader|42336|39|ThreadId(3)|11264|25600|1790148483934722800
end|reader|42336|40|ThreadId(5)|40960|25600|1790148483934990000
end|main|42336|32|ThreadId(14)|36864|25600|1790148483939327900
end|main|42336|33|ThreadId(5)|38912|25600|1790148483943039700
end|main|42336|34|ThreadId(8)|39936|25600|1790148483946396100
end|main|42336|35|ThreadId(12)|35840|25600|1790148483949417000
end|main|42336|36|ThreadId(3)|18432|25600|1790148483953289600
end|main|42336|37|ThreadId(10)|30720|25600|1790148483956729900
end|main|42336|38|ThreadId(11)|41984|25600|1790148483961113100
end|main|42336|39|ThreadId(4)|11264|25600|1790148483964611800
end|main|42336|40|ThreadId(6)|40960|25600|1790148483969747600
begin|main|42336|41|ThreadId(13)|43008|25600|1790148483971127400
begin|main|42336|42|ThreadId(9)|44032|25600|1790148483972889200
begin|reader|42336|41|ThreadId(12)|43008|25600|1790148483973212500
beginbegin||readermain||4233642336|42|ThreadId|(438)|44032|25600|1790148483974848800
|ThreadId(7)|27648|25600|1790148483974838200
begin|main|42336|44|ThreadId(11)|47104|25600|1790148483975467200
begin|main|42336|45|ThreadId(8)|46080|25600|1790148483975897300
begin|reader|42336|43|ThreadId(6)|27648|25600|1790148483976192300
beginbegin||reader|main42336||42336|4644||ThreadIdThreadId((1410)|45056)||2560047104||179014848397664570025600
|1790148483976795500
beginbegin|reader||42336main||4542336|ThreadId|(47|ThreadId(10)7|)48128|46080|25600|1790148483977480300
|25600|1790148483977480900
begin|main|42336|48|ThreadId(2)|37888|25600|1790148483978307700
end|reader|42336|41|ThreadId(12)|43008|25600|1790148483978691400
begin|reader|42336|46|ThreadId(13)|45056|25600|1790148483979182800
end|reader|42336|42|ThreadId(8)|44032|25600|1790148483979496600
end|reader|42336|43|ThreadId(6)|27648|25600|1790148483979867500
begin|reader|42336|47|ThreadId(9)|48128|25600|1790148483980184800
begin|reader|42336|48|ThreadId(1)|37888|25600|1790148483980680100
end|reader|42336|44|ThreadId(10)|47104|25600|1790148483981004400
end|reader|42336|45|ThreadId(7)|46080|25600|1790148483981343700
end|reader|42336|46|ThreadId(13)|45056|25600|1790148483981938600
end|reader|42336|48|ThreadId(1)|37888|25600|1790148483983617400
end|reader|42336|47|ThreadId(9)|48128|25600|1790148483983964500
end|main|42336|41|ThreadId(13)|43008|25600|1790148483986087300
end|main|42336|42|ThreadId(9)|44032|25600|1790148483990047600
end|main|42336|43|ThreadId(7)|27648|25600|1790148483994680300
end|main|42336|44|ThreadId(11)|47104|25600|1790148483999247000
end|main|42336|45|ThreadId(8)|46080|25600|1790148484002839200
end|main|42336|46|ThreadId(14)|45056|25600|1790148484006576200
end|main|42336|48|ThreadId(2)|37888|25600|1790148484010060500
end|main|42336|47|ThreadId(10)|48128|25600|1790148484014227300
