scene,depth,dims,passes,iters,renders,conv_in_p50,conv_in_p95,upload_p50,upload_p95,gpu_p50,gpu_p95,readback_p50,readback_p95,conv_out_p50,conv_out_p95,total_p50,total_p95,wall_ms,fps,status
grad720_8,U8,1280x720,1,1-1,25,0.269,0.505,0.471,0.658,0.617,1.600,0.214,0.388,0.447,0.572,2.083,2.954,1045,23.92,DONE
grad4k_8,U8,3840x2160,1,1-1,25,2.733,5.131,2.623,4.727,1.907,2.233,3.090,5.299,4.479,7.083,15.565,19.751,2037,12.27,DONE
thermal720_8,U8,1280x720,6,1-1,25,0.257,0.365,0.545,0.683,0.775,1.398,0.248,0.431,0.433,0.641,2.483,3.174,1264,19.78,DONE
thermal4k_8,U8,3840x2160,6,1-1,25,2.652,5.567,2.428,2.984,3.353,3.775,2.613,4.017,4.515,5.778,15.844,19.915,3591,6.96,DONE
temporal720_8,U8,1280x720,1,1-16,25,0.248,0.528,0.648,0.997,1.334,2.737,0.239,0.348,0.466,0.560,3.277,4.667,1057,23.65,DONE
multi720_8,U8,1280x720,1,1-1,100,0.760,1.435,0.661,1.410,0.756,1.473,0.586,1.385,0.980,1.980,4.218,6.980,1174,21.29,DONE
grad720_32,F32,1280x720,1,1-1,25,1.046,1.495,1.152,1.898,1.003,1.590,0.997,1.617,1.684,2.538,6.129,8.766,1254,19.94,DONE
grad4k_32,F32,3840x2160,1,1-1,25,10.360,17.227,22.512,26.859,11.782,13.491,9.931,17.934,15.417,23.899,72.232,84.811,4447,5.62,DONE
