scene,depth,dims,passes,iters,renders,conv_in_p50,conv_in_p95,upload_p50,upload_p95,gpu_p50,gpu_p95,readback_p50,readback_p95,conv_out_p50,conv_out_p95,total_p50,total_p95,wall_ms,fps,status
grad720_8,U8,1280x720,1,1-1,25,0.745,0.898,1.001,1.323,0.660,1.310,0.500,0.634,0.469,0.630,3.614,4.446,1197,20.89,DONE
grad4k_8,U8,3840x2160,1,1-1,25,6.417,8.196,7.077,9.175,1.492,2.247,4.655,5.866,4.599,6.826,26.737,29.944,2227,11.23,DONE
thermal720_8,U8,1280x720,6,1-1,25,0.707,0.939,1.063,1.319,0.876,1.474,0.468,0.574,0.472,0.598,3.872,4.625,1400,17.86,DONE
thermal4k_8,U8,3840x2160,6,1-1,25,7.032,10.304,11.482,15.830,3.533,4.620,4.372,5.918,4.279,5.114,33.768,39.675,3494,7.16,DONE
temporal720_8,U8,1280x720,1,1-16,25,0.768,1.301,11.478,15.985,2.557,3.827,0.509,0.914,0.497,0.920,17.569,24.815,1231,20.31,DONE
multi720_8,U8,1280x720,1,1-1,100,1.177,1.911,1.620,2.807,1.005,2.122,0.891,1.306,0.989,2.074,6.601,8.661,1254,19.94,DONE
grad720_32,F32,1280x720,1,1-1,25,2.805,3.696,3.119,3.941,0.978,1.715,1.801,2.431,1.849,2.961,11.371,13.125,1342,18.63,DONE
grad4k_32,F32,3840x2160,1,1-1,25,25.516,36.871,47.904,65.917,20.109,24.259,17.108,26.709,16.278,21.362,136.954,174.916,4839,5.17,DONE
